"Kod";"Nazwa";"Kierunki migracji";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2006";-6593;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2007";-5751;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2008";-4433;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2009";-4153;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2010";-4905;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2011";-5136;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2012";-5172;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2013";-5627;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2014";-5760;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2016";-4067;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2017";-4731;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2018";-5359;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2019";-6031;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2020";-4338;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2021";-4766;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2022";-4501;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2023";-4468;"osoba";"";
0600000;"LUBELSKIE";"saldo migracji ogółem";"ogółem";"2024";-4823;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2005";-646;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2006";-1594;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2007";-1215;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2008";-682;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2009";-473;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2010";-474;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2011";-830;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2012";-622;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2013";-1378;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2014";-1323;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2016";-831;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2017";-957;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2018";-978;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2019";-1101;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2020";-717;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2021";-964;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2022";-771;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2023";-626;"osoba";"";
0800000;"LUBUSKIE";"saldo migracji ogółem";"ogółem";"2024";-753;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2005";-1765;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2006";-2909;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2007";-2128;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2008";-1692;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2009";-1264;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2010";-1780;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2011";-1891;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2012";-1828;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2013";-2678;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2014";-2045;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2016";-1417;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2017";-1789;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2018";-1859;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2019";-2510;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2020";-1672;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2021";-2143;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2022";-1570;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2023";-1800;"osoba";"";
1000000;"ŁÓDZKIE";"saldo migracji ogółem";"ogółem";"2024";-1400;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2005";3183;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2006";1292;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2007";2715;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2008";2243;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2009";4408;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2010";4408;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2011";4300;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2012";3577;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2013";2824;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2014";2947;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2016";3672;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2017";4106;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2018";5521;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2019";6872;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2020";3981;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2021";4816;"osoba";"";
1200000;"MAŁOPOLSKIE";"saldo migracji ogółem";"ogółem";"2022";4111;"osoba";"";
