"Kod";"Nazwa";"Kierunki migracji";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2014";-2570;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2016";-1750;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2017";-2225;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2018";-2452;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2019";-3462;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2020";-2013;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2021";-2328;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2022";-2230;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2023";-2698;"osoba";"";
2600000;"ŚWIĘTOKRZYSKIE";"saldo migracji ogółem";"ogółem";"2024";-2620;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2005";-3098;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2006";-5055;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2007";-3792;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2008";-3099;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2009";-2784;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2010";-2706;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2011";-2996;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2012";-2587;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2013";-3698;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2014";-3576;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2016";-2974;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2017";-2742;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2018";-3504;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2019";-3750;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2020";-2091;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2021";-2563;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2022";-2258;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2023";-2260;"osoba";"";
2800000;"WARMIŃSKO-MAZURSKIE";"saldo migracji ogółem";"ogółem";"2024";-2419;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2005";2301;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2006";527;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2007";1872;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2008";1128;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2009";1568;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2010";1273;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2011";1405;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2012";634;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2013";166;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2014";73;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2016";1059;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2017";1143;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2018";1282;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2019";1460;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2020";1757;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2021";2000;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2022";1401;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2023";2029;"osoba";"";
3000000;"WIELKOPOLSKIE";"saldo migracji ogółem";"ogółem";"2024";2164;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2005";-1723;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2006";-1802;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2007";-1772;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2008";-1416;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2009";-843;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2010";-937;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2011";-855;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2012";-833;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2013";-1040;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2014";-2372;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2015";0;"osoba";"x";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2016";-1004;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2017";-999;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2018";-1003;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2019";-737;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2020";-601;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2021";-757;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2022";-509;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2023";-584;"osoba";"";
3200000;"ZACHODNIOPOMORSKIE";"saldo migracji ogółem";"ogółem";"2024";-139;"osoba";"";
