Rok;Okres;Białystok;Bydgoszcz;Gdańsk;Gdynia;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona Góra;7 miast;10 miast;6 miast bez Warszawy
2014;3;3 701;3 514;5 023;4 734;3 563;3 868;5 930;4 487;3 361;4 044;3 784;4 994;4 551;3 762;7 365;5 100;3 277;5 752;3 838;4 853
2014;4;3 702;3 450;5 008;4 617;3 348;3 703;5 834;4 444;3 490;4 007;3 901;5 010;4 582;3 986;7 387;5 194;2 990;5 762;3 790;4 856
2015;1;3 665;3 531;5 166;4 874;3 542;3 663;6 197;4 424;3 342;4 055;3 785;4 970;4 485;3 732;7 335;5 245;2 985;5 759;3 817;4 881
2015;2;3 745;3 567;5 113;5 126;3 444;3 717;6 157;4 386;3 442;4 025;3 861;4 985;4 533;3 813;7 308;5 116;2 897;5 791;3 835;4 945
2015;3;3 857;3 573;5 114;4 962;3 434;3 684;6 095;4 534;3 376;4 047;3 949;5 099;4 435;3 892;7 447;5 263;3 101;5 869;3 878;4 989
2015;4;3 890;3 562;5 441;4 879;3 442;3 589;5 939;4 561;3 341;4 060;3 838;5 060;4 463;3 741;7 401;5 177;3 146;5 823;3 856;4 944
2016;1;3 986;3 574;5 364;4 699;3 531;3 607;5 884;4 449;3 277;4 126;3 805;5 065;4 623;3 787;7 434;5 216;3 086;5 795;3 880;4 881
2016;2;4 000;3 715;5 521;5 155;3 500;3 558;5 740;4 568;3 347;4 122;3 920;5 177;4 591;3 997;7 355;5 201;3 060;5 799;3 939;4 931
2016;3;3 933;3 692;5 555;5 030;3 636;3 620;5 820;4 559;3 284;4 216;4 002;5 236;4 514;4006;7 309;5 332;3 267;5 826;3 985;4 999
2016;4;4 078;3 782;5 610;5 141;3 577;3 456;5 951;4 680;3 417;4 127;3 935;5 282;4 642;3 998;7 556;5 480;3 073;5 977;3 988;5 096
2017;1;4 015;3 779;5 778;4 971;3 528;3 502;5 979;4 651;3 509;4 091;4 006;5 154;4 651;3 995;7 429;5 390;3 110;5 936;3 968;5 105
