"Kod";"Nazwa";"Okresy";"Wskaźnik cen";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"3 kwartał";"ogółem - okres poprzedni = 100";"2017";99,8;"-";"";
0000000;"POLSKA";"3 kwartał";"ogółem - okres poprzedni = 100";"2018";100,0;"-";"";
0000000;"POLSKA";"3 kwartał";"ogółem - okres poprzedni = 100";"2019";100,3;"-";"";
0000000;"POLSKA";"3 kwartał";"ogółem - okres poprzedni = 100";"2020";100,1;"-";"";
0000000;"POLSKA";"3 kwartał";"ogółem - okres poprzedni = 100";"2021";101,0;"-";"";
0000000;"POLSKA";"3 kwartał";"ogółem - okres poprzedni = 100";"2022";103,1;"-";"";
0000000;"POLSKA";"3 kwartał";"ogółem - okres poprzedni = 100";"2023";99,7;"-";"";
0000000;"POLSKA";"3 kwartał";"ogółem - okres poprzedni = 100";"2024";101,6;"-";"";
0000000;"POLSKA";"3 kwartał";"ogółem - okres poprzedni = 100";"2025";100,3;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2005";100,4;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2006";100,3;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2007";101,6;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2008";100,6;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2009";100,2;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2010";100,9;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2011";101,3;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2012";100,4;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2013";100,0;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2014";99,6;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2015";99,7;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2016";100,7;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2017";101,1;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2018";100,5;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2019";100,6;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2020";100,4;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2021";102,6;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2022";103,6;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2023";100,5;"-";"";
0000000;"POLSKA";"4 kwartał";"ogółem - okres poprzedni = 100";"2024";100,7;"-";"";
